Level	Rule Name	Subject	Property	Value
ERROR	missing_label	BFO:0000004	rdfs:label		
ERROR	missing_label	BFO:0000020	rdfs:label		
ERROR	missing_label	BFO:0000040	rdfs:label		
ERROR	missing_label	CARO:0000003	rdfs:label		
ERROR	missing_label	CARO:0000006	rdfs:label		
ERROR	missing_label	CARO:0000014	rdfs:label		
ERROR	missing_label	CL:0000000	rdfs:label		
ERROR	missing_label	CL:0000001	rdfs:label		
ERROR	missing_label	CL:0000003	rdfs:label		
ERROR	missing_label	CL:0000010	rdfs:label		
ERROR	missing_label	CL:0000066	rdfs:label		
ERROR	missing_label	CL:0000082	rdfs:label		
ERROR	missing_label	CL:0000221	rdfs:label		
ERROR	missing_label	CL:0000223	rdfs:label		
ERROR	missing_label	CL:0000225	rdfs:label		
ERROR	missing_label	CL:0000255	rdfs:label		
ERROR	missing_label	CL:0000362	rdfs:label		
ERROR	missing_label	CL:0000548	rdfs:label		
ERROR	missing_label	CL:0000578	rdfs:label		
ERROR	missing_label	CL:0001034	rdfs:label		
ERROR	missing_label	CL:0002076	rdfs:label		
ERROR	missing_label	CL:0002077	rdfs:label		
ERROR	missing_label	CL:0002159	rdfs:label		
ERROR	missing_label	CL:0002242	rdfs:label		
ERROR	missing_label	CL:0002251	rdfs:label		
ERROR	missing_label	CL:0002319	rdfs:label		
ERROR	missing_label	CL:0002320	rdfs:label		
ERROR	missing_label	CL:0002321	rdfs:label		
ERROR	missing_label	CL:0002368	rdfs:label		
ERROR	missing_label	CL:0002371	rdfs:label		
ERROR	missing_label	CL:0002632	rdfs:label		
ERROR	missing_label	GO:0005623	rdfs:label		
ERROR	missing_label	GO:0005634	rdfs:label		
ERROR	missing_label	GO:0043226	rdfs:label		
ERROR	missing_label	GO:0043227	rdfs:label		
ERROR	missing_label	GO:0043229	rdfs:label		
ERROR	missing_label	GO:0043231	rdfs:label		
ERROR	missing_label	GO:0044424	rdfs:label		
ERROR	missing_label	GO:0044464	rdfs:label		
ERROR	missing_label	PATO:0001241	rdfs:label		
ERROR	missing_label	PATO:0001396	rdfs:label		
ERROR	missing_label	PATO:0001404	rdfs:label		
ERROR	missing_label	PATO:0001405	rdfs:label		
ERROR	missing_label	PATO:0002505	rdfs:label		
ERROR	missing_label	UBERON:0000010	rdfs:label		
ERROR	missing_label	UBERON:0000025	rdfs:label		
